road_address,building_name,unit_est
강원특별자치도 춘천시 남산면 강촌로 174-8,아띠펜션,15.0
강원특별자치도 춘천시 남산면 강촌로 174-9,강촌홀리데이,13.0
강원특별자치도 춘천시 남산면 강촌로 186,뷰티풀펜션,16.0
강원특별자치도 춘천시 남산면 강촌로 244,오후펜션,14.0
강원특별자치도 춘천시 남산면 강촌로 250,강촌잠빌,11.0
"강원특별자치도 춘천시 남산면 강촌로 66, 2-4층",소소펜션,9.0
강원특별자치도 춘천시 남산면 강촌로 80-1,느티나무마을,17.0
"강원특별자치도 춘천시 남산면 갯골길 62-3, 2층,3층",강촌프로방스,11.0
강원특별자치도 춘천시 남산면 갯골길 62-4,해피데이,12.0
강원특별자치도 춘천시 남산면 남이섬길 1,호텔정관루별관(콘도별장),8.0
"강원특별자치도 춘천시 남산면 노일길 40-8, 2층",오하루스파펜션,3.0
강원특별자치도 춘천시 남산면 동촌로 638,로로키즈풀빌라리조트,9.0
강원특별자치도 춘천시 남산면 방하로 688-16,해피스데이애견펜션,6.0
강원특별자치도 춘천시 남산면 보매기1길 62-12,파인트리펜션,12.0
"강원특별자치도 춘천시 남산면 산수길 132, 2~4동",포레나스테이,2.0
강원특별자치도 춘천시 남산면 서백1길 70,헤이븐(haven),3.0
강원특별자치도 춘천시 남산면 서백3길 101,아이산테니스펜션,4.0
"강원특별자치도 춘천시 남산면 소주고개로 376, 2~3층",376스테이,2.0
"강원특별자치도 춘천시 남산면 소주고개로 465-12, 1,2,3동",산에들에펜션,18.0
강원특별자치도 춘천시 남산면 햇골길 13-19,CASADISOLE,2.0
강원특별자치도 춘천시 사북면 가일길 555,레이크192by호수로가는집,2.0
강원특별자치도 춘천시 사북면 지내고탄로 752,현민실업(주) 래금힐파크여관,17.0
"강원특별자치도 춘천시 사북면 춘화로 736, 5층",이와림,7.0
강원특별자치도 춘천시 서면 경춘로 405,피그멜리온 이펙트,13.0
강원특별자치도 춘천시 서면 명월길 429-8,발리앤벨리,7.0
강원특별자치도 태백시 통리길 51 (통동),고릴라하우스,9.0
강원특별자치도 평창군 대관령면 가시머리길 36-16,대관령 느린마을,4.0
강원특별자치도 평창군 대관령면 가시머리길 36-72,썬,2.0
강원특별자치도 평창군 대관령면 가시머리길 52-10,엣지하우스,2.0
강원특별자치도 평창군 대관령면 가시머리길 52-26,하나비하우스,1.0
강원특별자치도 평창군 대관령면 가시머리길 52-28,룸비니하우스,1.0
강원특별자치도 평창군 대관령면 가시머리길 52-3,산들샬레,5.0
강원특별자치도 평창군 대관령면 가시머리길 52-7,대관령하우스,3.0
강원특별자치도 평창군 대관령면 가시머리길 52-9,대관령800마을 코지하우스,1.0
"강원특별자치도 평창군 대관령면 대관령마루길 259-34, 외 21",르꼼떼블루,22.0
강원특별자치도 평창군 대관령면 대관령마루길 365-13,대관령 요들레이펜션,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-15,유원,1.0
